price,units_sold,discount,competitor_price,marketing_spend,season,region
152,119,11,150,2429,Winter,East
142,148,15,128,3962,Winter,North
64,281,28,48,8386,Festival,East
156,151,24,175,3468,Festival,East
121,178,20,121,4228,Winter,South
70,264,17,56,9320,Summer,East
152,129,2,168,5399,Winter,West
171,147,19,173,4966,Summer,West
124,201,14,114,6281,Festival,South
137,147,4,126,6017,Summer,West
166,146,12,166,6155,Winter,North
149,134,18,161,2250,Festival,East
153,156,11,152,5688,Winter,South
180,157,29,192,5073,Winter,West
199,153,22,218,4787,Summer,North
102,230,20,116,6658,Winter,North
51,224,4,64,4772,Winter,South
137,134,5,152,3212,Festival,South
87,235,6,93,7867,Summer,West
179,174,25,177,7963,Summer,East
70,223,9,54,6693,Festival,North
107,186,15,115,4991,Festival,North
71,187,7,60,3187,Summer,South
138,161,8,157,4032,Festival,North
98,244,26,90,4903,Summer,South
108,221,3,116,9220,Festival,East
64,234,20,48,4670,Summer,South
100,238,20,91,6727,Summer,East
157,162,7,149,5894,Festival,West
104,241,24,105,6518,Winter,South
113,153,6,132,3336,Winter,West
180,126,14,174,4323,Festival,East
100,234,20,92,8120,Summer,North
184,142,2,164,8859,Festival,West
70,178,16,87,1099,Winter,South
122,168,10,102,4656,Summer,South
67,240,8,57,7786,Summer,West
181,71,4,200,1693,Summer,West
138,222,24,139,5801,Winter,West
109,225,9,123,9209,Winter,South
63,237,14,48,4709,Summer,West
58,257,27,65,3770,Summer,West
139,184,28,149,2030,Winter,East
102,190,13,89,5475,Winter,West
179,109,3,163,5209,Summer,West
133,195,20,129,7995,Festival,South
141,135,19,158,2619,Festival,South
160,99,1,148,3516,Festival,North
57,264,11,46,8995,Winter,South
84,153,0,83,2125,Festival,South
130,270,23,123,9684,Festival,South
99,242,19,92,7906,Winter,South
153,161,4,158,6604,Festival,West
181,106,5,189,4036,Summer,North
51,239,29,57,3526,Winter,South
183,114,23,187,1166,Summer,West
103,173,10,98,5189,Festival,South
155,171,7,170,8348,Summer,North
53,191,6,66,1575,Winter,East
103,199,3,98,8171,Festival,East
195,153,5,207,9797,Winter,North
93,193,15,75,4343,Festival,West
63,204,19,65,2818,Winter,West
144,187,14,134,7023,Winter,North
97,248,13,94,8979,Summer,East
64,264,22,72,6171,Winter,South
89,212,11,73,6409,Winter,East
131,184,28,134,5541,Summer,South
160,168,11,168,7380,Festival,North
102,209,15,110,4860,Festival,North
73,181,14,78,2514,Winter,North
173,156,28,192,2067,Summer,East
90,150,12,72,1881,Festival,North
64,251,10,45,7909,Summer,East
94,251,29,98,6032,Winter,West
114,230,16,112,7502,Summer,South
138,180,20,157,4639,Winter,South
120,184,14,101,5557,Festival,South
58,274,13,56,9292,Festival,North
137,146,9,117,4532,Festival,South
178,97,11,184,3816,Festival,North
185,153,15,199,7411,Summer,East
112,157,14,96,1407,Summer,North
188,159,9,205,8204,Summer,South
130,132,3,113,3515,Winter,North
185,210,26,181,9133,Festival,North
82,204,22,82,2739,Festival,East
172,173,28,182,5052,Festival,North
54,192,8,55,1258,Summer,South
90,265,20,80,9700,Summer,North
77,243,19,90,6786,Festival,West
184,131,8,178,4683,Winter,North
121,183,20,110,5720,Summer,West
61,246,24,78,4726,Festival,South
82,178,23,93,1678,Festival,West
97,237,19,107,9459,Festival,West
111,201,10,127,7126,Winter,West
86,205,10,93,5906,Festival,West
148,203,6,158,8898,Summer,West
