price,units_sold,discount,competitor_price,marketing_spend,price_diff,discount_pct,season_Summer,season_Winter,region_North,region_South,region_West
152,119,11,150,2429,2,7.236842105263158,False,True,False,False,False
142,148,15,128,3962,14,10.56338028169014,False,True,True,False,False
64,281,28,48,8386,16,43.75,False,False,False,False,False
156,151,24,175,3468,-19,15.384615384615385,False,False,False,False,False
121,178,20,121,4228,0,16.528925619834713,False,True,False,True,False
70,264,17,56,9320,14,24.285714285714285,True,False,False,False,False
152,129,2,168,5399,-16,1.3157894736842104,False,True,False,False,True
171,147,19,173,4966,-2,11.11111111111111,True,False,False,False,True
124,201,14,114,6281,10,11.29032258064516,False,False,False,True,False
137,147,4,126,6017,11,2.9197080291970803,True,False,False,False,True
166,146,12,166,6155,0,7.228915662650602,False,True,True,False,False
149,134,18,161,2250,-12,12.080536912751679,False,False,False,False,False
153,156,11,152,5688,1,7.18954248366013,False,True,False,True,False
180,157,29,192,5073,-12,16.11111111111111,False,True,False,False,True
199,153,22,218,4787,-19,11.055276381909549,True,False,True,False,False
102,230,20,116,6658,-14,19.607843137254903,False,True,True,False,False
51,224,4,64,4772,-13,7.8431372549019605,False,True,False,True,False
137,134,5,152,3212,-15,3.64963503649635,False,False,False,True,False
87,235,6,93,7867,-6,6.896551724137931,True,False,False,False,True
179,174,25,177,7963,2,13.966480446927374,True,False,False,False,False
70,223,9,54,6693,16,12.857142857142856,False,False,True,False,False
107,186,15,115,4991,-8,14.018691588785046,False,False,True,False,False
71,187,7,60,3187,11,9.859154929577464,True,False,False,True,False
138,161,8,157,4032,-19,5.797101449275362,False,False,True,False,False
98,244,26,90,4903,8,26.53061224489796,True,False,False,True,False
108,221,3,116,9220,-8,2.7777777777777777,False,False,False,False,False
64,234,20,48,4670,16,31.25,True,False,False,True,False
100,238,20,91,6727,9,20.0,True,False,False,False,False
157,162,7,149,5894,8,4.45859872611465,False,False,False,False,True
104,241,24,105,6518,-1,23.076923076923077,False,True,False,True,False
113,153,6,132,3336,-19,5.3097345132743365,False,True,False,False,True
180,126,14,174,4323,6,7.777777777777778,False,False,False,False,False
100,234,20,92,8120,8,20.0,True,False,True,False,False
184,142,2,164,8859,20,1.0869565217391304,False,False,False,False,True
70,178,16,87,1099,-17,22.857142857142858,False,True,False,True,False
122,168,10,102,4656,20,8.19672131147541,True,False,False,True,False
67,240,8,57,7786,10,11.940298507462686,True,False,False,False,True
181,71,4,200,1693,-19,2.209944751381215,True,False,False,False,True
138,222,24,139,5801,-1,17.391304347826086,False,True,False,False,True
109,225,9,123,9209,-14,8.256880733944955,False,True,False,True,False
63,237,14,48,4709,15,22.22222222222222,True,False,False,False,True
58,257,27,65,3770,-7,46.55172413793103,True,False,False,False,True
139,184,28,149,2030,-10,20.14388489208633,False,True,False,False,False
102,190,13,89,5475,13,12.745098039215685,False,True,False,False,True
179,109,3,163,5209,16,1.675977653631285,True,False,False,False,True
133,195,20,129,7995,4,15.037593984962406,False,False,False,True,False
141,135,19,158,2619,-17,13.47517730496454,False,False,False,True,False
160,99,1,148,3516,12,0.625,False,False,True,False,False
57,264,11,46,8995,11,19.298245614035086,False,True,False,True,False
84,153,0,83,2125,1,0.0,False,False,False,True,False
130,270,23,123,9684,7,17.692307692307693,False,False,False,True,False
99,242,19,92,7906,7,19.19191919191919,False,True,False,True,False
153,161,4,158,6604,-5,2.6143790849673203,False,False,False,False,True
181,106,5,189,4036,-8,2.7624309392265194,True,False,True,False,False
51,239,29,57,3526,-6,56.86274509803921,False,True,False,True,False
183,114,23,187,1166,-4,12.568306010928962,True,False,False,False,True
103,173,10,98,5189,5,9.70873786407767,False,False,False,True,False
155,171,7,170,8348,-15,4.516129032258064,True,False,True,False,False
53,191,6,66,1575,-13,11.320754716981133,False,True,False,False,False
103,199,3,98,8171,5,2.912621359223301,False,False,False,False,False
195,153,5,207,9797,-12,2.564102564102564,False,True,True,False,False
93,193,15,75,4343,18,16.129032258064516,False,False,False,False,True
63,204,19,65,2818,-2,30.158730158730158,False,True,False,False,True
144,187,14,134,7023,10,9.722222222222223,False,True,True,False,False
97,248,13,94,8979,3,13.402061855670103,True,False,False,False,False
64,264,22,72,6171,-8,34.375,False,True,False,True,False
89,212,11,73,6409,16,12.359550561797752,False,True,False,False,False
131,184,28,134,5541,-3,21.374045801526716,True,False,False,True,False
160,168,11,168,7380,-8,6.875000000000001,False,False,True,False,False
102,209,15,110,4860,-8,14.705882352941178,False,False,True,False,False
73,181,14,78,2514,-5,19.17808219178082,False,True,True,False,False
173,156,28,192,2067,-19,16.184971098265898,True,False,False,False,False
90,150,12,72,1881,18,13.333333333333334,False,False,True,False,False
64,251,10,45,7909,19,15.625,True,False,False,False,False
94,251,29,98,6032,-4,30.851063829787233,False,True,False,False,True
114,230,16,112,7502,2,14.035087719298245,True,False,False,True,False
138,180,20,157,4639,-19,14.492753623188406,False,True,False,True,False
120,184,14,101,5557,19,11.666666666666666,False,False,False,True,False
